DateKey;mouth;year;day
20000730;7;2000;30
20000808;8;2000;8
20151024;10;2015;24
20110527;5;2011;27
20010410;4;2001;10
19991214;12;1999;14
20000726;7;2000;26
20000725;7;2000;25
20010409;4;2001;9
19991213;12;1999;13
19991219;12;1999;19
20000728;7;2000;28
20011205;12;2001;5
19961108;11;1996;8
19961017;10;1996;17
20050125;1;2005;25
20050126;1;2005;26
20050131;1;2005;31
20050415;4;2005;15
20061025;10;2006;25
20050315;3;2005;15
20050302;3;2005;2
20060911;9;2006;11
20070305;3;2007;5
20050204;2;2005;4
20050217;2;2005;17
20050606;6;2005;6
20050314;3;2005;14
20050726;7;2005;26
20050307;3;2005;7
20050323;3;2005;23
20050413;4;2005;13
20050802;8;2005;2
20051005;10;2005;5
20050520;5;2005;20
20050711;7;2005;11
20050831;8;2005;31
20061030;10;2006;30
20060606;6;2006;6
20060412;4;2006;12
20060901;9;2006;1
20060926;9;2006;26
20070125;1;2007;25
20070319;3;2007;19
20061211;12;2006;11
20070410;4;2007;10
19960808;8;1996;8
20030207;2;2003;7
20160212;2;2016;12
20160213;2;2016;13
20160216;2;2016;16
19980803;8;1998;3
19980723;7;1998;23
19980830;8;1998;30
20090711;7;2009;11
20010422;4;2001;22
20010416;4;2001;16
19960622;6;1996;22
20171113;11;2017;13
20110306;3;2011;6
20130826;8;2013;26
20110518;5;2011;18
20110605;6;2011;5
20120119;1;2012;19
20111130;11;2011;30
20160211;2;2016;11
20160408;4;2016;8
20160422;4;2016;22
20160209;2;2016;9
20160217;2;2016;17
20160321;3;2016;21
20160301;3;2016;1
20160215;2;2016;15
20160501;5;2016;1
20160406;4;2016;6
20161025;10;2016;25
20160229;2;2016;29
20170908;9;2017;8
20160401;4;2016;1
20160302;3;2016;2
20160410;4;2016;10
20180201;2;2018;1
20160210;2;2016;10
20160908;9;2016;8
20170816;8;2017;16
20180203;2;2018;3
20170122;1;2017;22
20160218;2;2016;18
20170817;8;2017;17
20160310;3;2016;10
20160225;2;2016;25
20161019;10;2016;19
20160330;3;2016;30
20161018;10;2016;18
20160609;6;2016;9
20160228;2;2016;28
20160322;3;2016;22
20171209;12;2017;9
20160604;6;2016;4
20160603;6;2016;3
20160927;9;2016;27
20160227;2;2016;27
20161013;10;2016;13
20160307;3;2016;7
20170906;9;2017;6
20170211;2;2017;11
20160303;3;2016;3
20180115;1;2018;15
20170722;7;2017;22
20180811;8;2018;11
20170212;2;2017;12
20171125;11;2017;25
20170421;4;2017;21
20160626;6;2016;26
20170124;1;2017;24
20180512;5;2018;12
20160801;8;2016;1
20170129;1;2017;29
20160308;3;2016;8
20180318;3;2018;18
20180317;3;2018;17
20160731;7;2016;31
20161221;12;2016;21
20170720;7;2017;20
20160930;9;2016;30
20170202;2;2017;2
20161108;11;2016;8
20161105;11;2016;5
20160519;5;2016;19
20160520;5;2016;20
20160405;4;2016;5
20160802;8;2016;2
20160718;7;2016;18
20171118;11;2017;18
20170317;3;2017;17
20180316;3;2018;16
20180109;1;2018;9
20170709;7;2017;9
20160904;9;2016;4
20160606;6;2016;6
20171215;12;2017;15
20160813;8;2016;13
20161026;10;2016;26
20170101;1;2017;1
20160619;6;2016;19
20160413;4;2016;13
20171117;11;2017;17
20160712;7;2016;12
20160729;7;2016;29
20161030;10;2016;30
20161102;11;2016;2
20170209;2;2017;9
20160621;6;2016;21
20170111;1;2017;11
20160309;3;2016;9
20170504;5;2017;4
20171126;11;2017;26
20170425;4;2017;25
20180820;8;2018;20
20170808;8;2017;8
20170917;9;2017;17
20171212;12;2017;12
20180819;8;2018;19
20171119;11;2017;19
20030527;5;2003;27
20030528;5;2003;28
20140809;8;2014;9
20141228;12;2014;28
20140622;6;2014;22
20130818;8;2013;18
20141217;12;2014;17
20141130;11;2014;30
20150715;7;2015;15
20141208;12;2014;8
20160106;1;2016;6
20140624;6;2014;24
20141010;10;2014;10
20150208;2;2015;8
20150411;4;2015;11
20141218;12;2014;18
20160710;7;2016;10
20141219;12;2014;19
20150904;9;2015;4
20150909;9;2015;9
20150328;3;2015;28
20150117;1;2015;17
20141011;10;2014;11
20150816;8;2015;16
20170102;1;2017;2
20100311;3;2010;11
20100316;3;2010;16
20050202;2;2005;2
20050218;2;2005;18
20160325;3;2016;25
20160326;3;2016;26
20180828;8;2018;28
19960710;7;1996;10
20000704;7;2000;4
20000801;8;2000;1
20090214;2;2009;14
20090514;5;2009;14
20090211;2;2009;11
20090302;3;2009;2
20090213;2;2009;13
20090511;5;2009;11
20100620;6;2010;20
20090512;5;2009;12
20090601;6;2009;1
20090427;4;2009;27
20090228;2;2009;28
20090420;4;2009;20
20090306;3;2009;6
20090321;3;2009;21
20090305;3;2009;5
20090217;2;2009;17
20090521;5;2009;21
20110614;6;2011;14
20130228;2;2013;28
20110612;6;2011;12
20110716;7;2011;16
20110613;6;2011;13
20140720;7;2014;20
20110906;9;2011;6
20110728;7;2011;28
20110626;6;2011;26
20110615;6;2011;15
20110702;7;2011;2
20170718;7;2017;18
19961213;12;1996;13
19970102;1;1997;2
19970223;2;1997;23
19991011;10;1999;11
19991012;10;1999;12
19991020;10;1999;20
20061028;10;2006;28
20061119;11;2006;19
20061218;12;2006;18
20070114;1;2007;14
19960501;5;1996;1
20041118;11;2004;18
19961013;10;1996;13
19961021;10;1996;21
19960829;8;1996;29
20001121;11;2000;21
19960514;5;1996;14
20010727;7;2001;27
19961126;11;1996;26
19970718;7;1997;18
19980522;5;1998;22
20000221;2;2000;21
20000529;5;2000;29
20050719;7;2005;19
20040731;7;2004;31
20000228;2;2000;28
20020507;5;2002;7
20000216;2;2000;16
20011204;12;2001;4
20011210;12;2001;10
20021011;10;2002;11
20011226;12;2001;26
20020514;5;2002;14
20000322;3;2000;22
20030630;6;2003;30
20020605;6;2002;5
20021022;10;2002;22
20071025;10;2007;25
19960614;6;1996;14
20170531;5;2017;31
20050919;9;2005;19
20171225;12;2017;25
20180414;4;2018;14
20180813;8;2018;13
20180104;1;2018;4
20180220;2;2018;20
20180528;5;2018;28
20180514;5;2018;14
20180523;5;2018;23
20180527;5;2018;27
20180531;5;2018;31
20180913;9;2018;13
20180207;2;2018;7
20180406;4;2018;6
20180526;5;2018;26
20180129;1;2018;29
20180803;8;2018;3
20180102;1;2018;2
20180101;1;2018;1
20180209;2;2018;9
20180503;5;2018;3
20180330;3;2018;30
20180131;1;2018;31
20171228;12;2017;28
20180415;4;2018;15
20180621;6;2018;21
20180206;2;2018;6
20170721;7;2017;21
20180118;1;2018;18
20180110;1;2018;10
20180426;4;2018;26
20090102;1;2009;2
20090104;1;2009;4
20160709;7;2016;9
20090322;3;2009;22
19960423;4;1996;23
19960813;8;1996;13
20110807;8;2011;7
19960626;6;1996;26
20000809;8;2000;9
20001022;10;2000;22
20000924;9;2000;24
19961111;11;1996;11
20000321;3;2000;21
20140227;2;2014;27
20140228;2;2014;28
20060420;4;2006;20
20180613;6;2018;13
20180328;3;2018;28
20180319;3;2018;19
20180323;3;2018;23
20180506;5;2018;6
20180911;9;2018;11
20180407;4;2018;7
20180412;4;2018;12
20180324;3;2018;24
20180430;4;2018;30
20180403;4;2018;3
20180501;5;2018;1
20180630;6;2018;30
20180505;5;2018;5
20180513;5;2018;13
20180727;7;2018;27
20180509;5;2018;9
20180517;5;2018;17
20180329;3;2018;29
20180331;3;2018;31
20180522;5;2018;22
20180614;6;2018;14
20180401;4;2018;1
20180525;5;2018;25
20180623;6;2018;23
20180326;3;2018;26
20180419;4;2018;19
20180428;4;2018;28
20180701;7;2018;1
20180605;6;2018;5
20180511;5;2018;11
20180508;5;2018;8
20180603;6;2018;3
20180510;5;2018;10
20150925;9;2015;25
20150927;9;2015;27
20151001;10;2015;1
20150926;9;2015;26
20150928;9;2015;28
20061022;10;2006;22
20061023;10;2006;23
20170514;5;2017;14
20170515;5;2017;15
20050102;1;2005;2
20050411;4;2005;11
20040822;8;2004;22
20041031;10;2004;31
20040829;8;2004;29
20041015;10;2004;15
20050404;4;2005;4
20070625;6;2007;25
20170728;7;2017;28
20060918;9;2006;18
20081228;12;2008;28
20180729;7;2018;29
20100320;3;2010;20
20091224;12;2009;24
20110520;5;2011;20
20090419;4;2009;19
20070604;6;2007;4
20100418;4;2010;18
20100317;3;2010;17
20100608;6;2010;8
20091217;12;2009;17
20090912;9;2009;12
20090131;1;2009;31
20120324;3;2012;24
20121111;11;2012;11
20110511;5;2011;11
20080421;4;2008;21
20121212;12;2012;12
20080814;8;2008;14
20111003;10;2011;3
20100315;3;2010;15
20110918;9;2011;18
20061217;12;2006;17
20090927;9;2009;27
20071224;12;2007;24
20100227;2;2010;27
20130127;1;2013;27
20101228;12;2010;28
20090216;2;2009;16
20130322;3;2013;22
20120116;1;2012;16
20110509;5;2011;9
20100908;9;2010;8
20101210;12;2010;10
20120828;8;2012;28
20120510;5;2012;10
20120624;6;2012;24
20101201;12;2010;1
20100502;5;2010;2
20100514;5;2010;14
20110617;6;2011;17
20130102;1;2013;2
20110503;5;2011;3
20110531;5;2011;31
20111031;10;2011;31
20111001;10;2011;1
20110710;7;2011;10
20110818;8;2011;18
20120802;8;2012;2
20111122;11;2011;22
20121027;10;2012;27
20120714;7;2012;14
20130221;2;2013;21
20130630;6;2013;30
20130704;7;2013;4
20180529;5;2018;29
20020517;5;2002;17
20121211;12;2012;11
19970527;5;1997;27
20080729;7;2008;29
20160525;5;2016;25
20160526;5;2016;26
20080406;4;2008;6
20060923;9;2006;23
20150810;8;2015;10
20180824;8;2018;24
20090910;9;2009;10
20001127;11;2000;27
20130824;8;2013;24
20130825;8;2013;25
19961014;10;1996;14
20040513;5;2004;13
20040514;5;2004;14
20040517;5;2004;17
20040519;5;2004;19
20120327;3;2012;27
20120408;4;2012;8
20120330;3;2012;30
20120412;4;2012;12
20120331;3;2012;31
20120407;4;2012;7
19970319;3;1997;19
19970306;3;1997;6
19970407;4;1997;7
19980309;3;1998;9
20120804;8;2012;4
20120803;8;2012;3
20120805;8;2012;5
20120806;8;2012;6
20100408;4;2010;8
20110127;1;2011;27
20120311;3;2012;11
20120310;3;2012;10
20180307;3;2018;7
19970219;2;1997;19
20050405;4;2005;5
20110113;1;2011;13
19991116;11;1999;16
19991118;11;1999;18
19960922;9;1996;22
20030123;1;2003;23
20050111;1;2005;11
20030208;2;2003;8
20031219;12;2003;19
20030323;3;2003;23
20031123;11;2003;23
20030517;5;2003;17
20030126;1;2003;26
20030312;3;2003;12
20030124;1;2003;24
20180724;7;2018;24
19960418;4;1996;18
20041111;11;2004;11
20041112;11;2004;12
20000908;9;2000;8
19960821;8;1996;21
19960627;6;1996;27
20150518;5;2015;18
20151224;12;2015;24
20180327;3;2018;27
20150520;5;2015;20
20161027;10;2016;27
20150828;8;2015;28
20151129;11;2015;29
20150831;8;2015;31
20050429;4;2005;29
20030325;3;2003;25
20030331;3;2003;31
20030519;5;2003;19
20030327;3;2003;27
20040723;7;2004;23
20030330;3;2003;30
20050311;3;2005;11
20060104;1;2006;4
20030615;6;2003;15
20060428;4;2006;28
20090327;3;2009;27
20041023;10;2004;23
20050409;4;2005;9
20101218;12;2010;18
20030401;4;2003;1
20101231;12;2010;31
20110107;1;2011;7
20030402;4;2003;2
20091101;11;2009;1
20030621;6;2003;21
20061024;10;2006;24
20030411;4;2003;11
20030426;4;2003;26
20040322;3;2004;22
20121226;12;2012;26
20061207;12;2006;7
20050506;5;2005;6
20041122;11;2004;22
20040229;2;2004;29
20050804;8;2005;4
20030903;9;2003;3
20120817;8;2012;17
20031007;10;2003;7
20130822;8;2013;22
20111229;12;2011;29
20030820;8;2003;20
20110327;3;2011;27
20040917;9;2004;17
20040423;4;2004;23
20141117;11;2014;17
20051014;10;2005;14
20031218;12;2003;18
20030417;4;2003;17
20040620;6;2004;20
20130614;6;2013;14
20070906;9;2007;6
20110302;3;2011;2
20040216;2;2004;16
20031115;11;2003;15
20030809;8;2003;9
20121215;12;2012;15
20110104;1;2011;4
20040124;1;2004;24
20090708;7;2009;8
20080112;1;2008;12
20120516;5;2012;16
20041006;10;2004;6
20080314;3;2008;14
20051105;11;2005;5
20090329;3;2009;29
20110108;1;2011;8
20090105;1;2009;5
20130107;1;2013;7
20051029;10;2005;29
20080828;8;2008;28
20101219;12;2010;19
20061212;12;2006;12
20110102;1;2011;2
20120107;1;2012;7
20110109;1;2011;9
20071029;10;2007;29
20110303;3;2011;3
20071230;12;2007;30
20110820;8;2011;20
20121217;12;2012;17
20130110;1;2013;10
20140927;9;2014;27
20120325;3;2012;25
20121026;10;2012;26
20110101;1;2011;1
20121112;11;2012;12
20120105;1;2012;5
20120914;9;2012;14
20151106;11;2015;6
20151105;11;2015;5
20151103;11;2015;3
20151104;11;2015;4
20151115;11;2015;15
20151122;11;2015;22
20151127;11;2015;27
20151113;11;2015;13
20151114;11;2015;14
20160615;6;2016;15
20151128;11;2015;28
20151120;11;2015;20
20170314;3;2017;14
20160701;7;2016;1
20170120;1;2017;20
20160703;7;2016;3
19960412;4;1996;12
19960513;5;1996;13
20030117;1;2003;17
19960827;8;1996;27
19960909;9;1996;9
19960915;9;1996;15
19960828;8;1996;28
19960902;9;1996;2
19960930;9;1996;30
19960830;8;1996;30
20070331;3;2007;31
20180214;2;2018;14
20180117;1;2018;17
20180116;1;2018;16
20180215;2;2018;15
20180217;2;2018;17
20180216;2;2018;16
20180120;1;2018;20
20180223;2;2018;23
20180222;2;2018;22
20180127;1;2018;27
20150918;9;2015;18
20171223;12;2017;23
20151012;10;2015;12
20010121;1;2001;21
20010124;1;2001;24
20170126;1;2017;26
20001005;10;2000;5
20000517;5;2000;17
20000508;5;2000;8
20000506;5;2000;6
20000531;5;2000;31
19991212;12;1999;12
19991211;12;1999;11
20001006;10;2000;6
20000119;1;2000;19
20000822;8;2000;22
20000129;1;2000;29
20000804;8;2000;4
20001223;12;2000;23
20000717;7;2000;17
20001001;10;2000;1
20000416;4;2000;16
19991216;12;1999;16
20000515;5;2000;15
20000716;7;2000;16
19961001;10;1996;1
20150703;7;2015;3
20150710;7;2015;10
20160713;7;2016;13
20150725;7;2015;25
20150802;8;2015;2
20151002;10;2015;2
20150801;8;2015;1
20150809;8;2015;9
20150704;7;2015;4
20150829;8;2015;29
20160214;2;2016;14
20170913;9;2017;13
20170910;9;2017;10
20151116;11;2015;16
20151219;12;2015;19
20160124;1;2016;24
20150724;7;2015;24
20150726;7;2015;26
20150705;7;2015;5
20151230;12;2015;30
20150921;9;2015;21
20150808;8;2015;8
20160328;3;2016;28
20150813;8;2015;13
20160125;1;2016;25
20150905;9;2015;5
20150913;9;2015;13
20151206;12;2015;6
20150731;7;2015;31
20160522;5;2016;22
20151220;12;2015;20
20150822;8;2015;22
20151026;10;2015;26
20150919;9;2015;19
20150817;8;2015;17
20170702;7;2017;2
19970403;4;1997;3
19961110;11;1996;10
20160425;4;2016;25
20151112;11;2015;12
20151111;11;2015;11
20151124;11;2015;24
20120509;5;2012;9
20120507;5;2012;7
20160919;9;2016;19
20160921;9;2016;21
20160917;9;2016;17
20160923;9;2016;23
20160920;9;2016;20
20160922;9;2016;22
20161010;10;2016;10
20161002;10;2016;2
20171008;10;2017;8
20160929;9;2016;29
20161007;10;2016;7
20161003;10;2016;3
20161210;12;2016;10
20161203;12;2016;3
20161012;10;2016;12
20170127;1;2017;27
20161103;11;2016;3
20171219;12;2017;19
20161009;10;2016;9
20170128;1;2017;28
20160925;9;2016;25
20170308;3;2017;8
20161001;10;2016;1
20161211;12;2016;11
20170105;1;2017;5
20161005;10;2016;5
20170524;5;2017;24
20171220;12;2017;20
20100115;1;2010;15
19980628;6;1998;28
20061229;12;2006;29
19960520;5;1996;20
20121010;10;2012;10
20060910;9;2006;10
20120223;2;2012;23
20060928;9;2006;28
20070326;3;2007;26
20061110;11;2006;10
20061127;11;2006;27
19960923;9;1996;23
19960523;5;1996;23
20011230;12;2001;30
19960518;5;1996;18
20080307;3;2008;7
20080929;9;2008;29
20160127;1;2016;27
20040526;5;2004;26
19991117;11;1999;17
20000204;2;2000;4
20000823;8;2000;23
20030608;6;2003;8
20020917;9;2002;17
20001109;11;2000;9
20020520;5;2002;20
20000202;2;2000;2
20020828;8;2002;28
20020503;5;2002;3
20000303;3;2000;3
20011219;12;2001;19
20031105;11;2003;5
20000224;2;2000;24
20020131;1;2002;31
20040401;4;2004;1
20050602;6;2005;2
20070531;5;2007;31
20050505;5;2005;5
20020614;6;2002;14
20001221;12;2000;21
20010622;6;2001;22
20000104;1;2000;4
20021023;10;2002;23
20070223;2;2007;23
20020111;1;2002;11
20060714;7;2006;14
20040126;1;2004;26
20011026;10;2001;26
19991206;12;1999;6
20011109;11;2001;9
20040511;5;2004;11
20000105;1;2000;5
20000407;4;2000;7
20020213;2;2002;13
20011130;11;2001;30
20020220;2;2002;20
20011025;10;2001;25
20001103;11;2000;3
20020513;5;2002;13
20010816;8;2001;16
20000609;6;2000;9
20010125;1;2001;25
20040316;3;2004;16
20010919;9;2001;19
20010206;2;2001;6
20010323;3;2001;23
20010904;9;2001;4
20020508;5;2002;8
20011213;12;2001;13
20010601;6;2001;1
20021210;12;2002;10
20020411;4;2002;11
20020730;7;2002;30
20021104;11;2002;4
20030618;6;2003;18
20020909;9;2002;9
20021111;11;2002;11
20021004;10;2002;4
20061220;12;2006;20
20020306;3;2002;6
20030205;2;2003;5
20030716;7;2003;16
20021125;11;2002;25
20030808;8;2003;8
20020621;6;2002;21
20060825;8;2006;25
20040325;3;2004;25
20030322;3;2003;22
20031217;12;2003;17
20040615;6;2004;15
20041004;10;2004;4
20060425;4;2006;25
20050909;9;2005;9
20050823;8;2005;23
20050712;7;2005;12
20061013;10;2006;13
20070802;8;2007;2
20171213;12;2017;13
19960801;8;1996;1
20151013;10;2015;13
20151015;10;2015;15
20060115;1;2006;15
20060109;1;2006;9
20110805;8;2011;5
20080217;2;2008;17
20161224;12;2016;24
19980802;8;1998;2
19970125;1;1997;25
19970214;2;1997;14
20151223;12;2015;23
20170205;2;2017;5
20000624;6;2000;24
20000625;6;2000;25
20000810;8;2000;10
20000718;7;2000;18
20050127;1;2005;27
20000102;1;2000;2
19991014;10;1999;14
19991013;10;1999;13
19991015;10;1999;15
19991019;10;1999;19
19991106;11;1999;6
20050128;1;2005;28
20000610;6;2000;10
20010519;5;2001;19
20000130;1;2000;30
20000320;3;2000;20
20001014;10;2000;14
20050226;2;2005;26
20010614;6;2001;14
20101126;11;2010;26
20171022;10;2017;22
20001009;10;2000;9
20001015;10;2000;15
20001010;10;2000;10
20001013;10;2000;13
20010528;5;2001;28
20001214;12;2000;14
20001203;12;2000;3
20031012;10;2003;12
20030717;7;2003;17
20010626;6;2001;26
20040225;2;2004;25
20001218;12;2000;18
20010204;2;2001;4
20010403;4;2001;3
20001117;11;2000;17
20001201;12;2000;1
20010607;6;2001;7
20011218;12;2001;18
20010822;8;2001;22
20010518;5;2001;18
20011017;10;2001;17
20010413;4;2001;13
20040226;2;2004;26
20070416;4;2007;16
20070413;4;2007;13
19960706;7;1996;6
19960704;7;1996;4
19960705;7;1996;5
19980503;5;1998;3
20010905;9;2001;5
20030304;3;2003;4
20070917;9;2007;17
20070926;9;2007;26
20070903;9;2007;3
20070904;9;2007;4
20070925;9;2007;25
20060804;8;2006;4
20070425;4;2007;25
20030728;7;2003;28
20040303;3;2004;3
20031201;12;2003;1
20040528;5;2004;28
20040315;3;2004;15
20030729;7;2003;29
20040104;1;2004;4
20040417;4;2004;17
20040813;8;2004;13
19960819;8;1996;19
19960818;8;1996;18
19970621;6;1997;21
20090403;4;2009;3
20101129;11;2010;29
20101128;11;2010;28
19961120;11;1996;20
20090209;2;2009;9
19960815;8;1996;15
20150629;6;2015;29
20150628;6;2015;28
20150701;7;2015;1
20150702;7;2015;2
20151210;12;2015;10
20061124;11;2006;24
20061116;11;2006;16
19970101;1;1997;1
19960824;8;1996;24
20100402;4;2010;2
19961016;10;1996;16
20030911;9;2003;11
20030605;6;2003;5
20031018;10;2003;18
20030609;6;2003;9
20030915;9;2003;15
20040203;2;2004;3
20050709;7;2005;9
20031124;11;2003;24
20050912;9;2005;12
20031013;10;2003;13
20030706;7;2003;6
20031016;10;2003;16
20030928;9;2003;28
20040218;2;2004;18
20050920;9;2005;20
20040106;1;2004;6
20031020;10;2003;20
20031014;10;2003;14
20030918;9;2003;18
20031025;10;2003;25
20030924;9;2003;24
20040204;2;2004;4
20030921;9;2003;21
20031130;11;2003;30
20040224;2;2004;24
20040905;9;2004;5
20040215;2;2004;15
20030916;9;2003;16
20030719;7;2003;19
20031009;10;2003;9
20050913;9;2005;13
20040219;2;2004;19
20040210;2;2004;10
20040521;5;2004;21
20030920;9;2003;20
20050522;5;2005;22
20031103;11;2003;3
20040302;3;2004;2
20040202;2;2004;2
20040720;7;2004;20
20040806;8;2004;6
20060502;5;2006;2
20010612;6;2001;12
20180916;9;2018;16
20030203;2;2003;3
20030204;2;2003;4
20020903;9;2002;3
20061026;10;2006;26
20070527;5;2007;27
20070601;6;2007;1
20061027;10;2006;27
20000702;7;2000;2
20170902;9;2017;2
19960417;4;1996;17
19960618;6;1996;18
20050308;3;2005;8
20001120;11;2000;20
20011217;12;2001;17
20010118;1;2001;18
20010704;7;2001;4
20020203;2;2002;3
20010114;1;2001;14
20010813;8;2001;13
20010807;8;2001;7
20001123;11;2000;23
20010702;7;2001;2
20010212;2;2001;12
20020128;1;2002;28
20010815;8;2001;15
20010808;8;2001;8
20001130;11;2000;30
20001229;12;2000;29
20010108;1;2001;8
20020124;1;2002;24
20010111;1;2001;11
20011011;10;2001;11
20010415;4;2001;15
20011231;12;2001;31
20010726;7;2001;26
20020405;4;2002;5
20010831;8;2001;31
20160418;4;2016;18
20000110;1;2000;10
20021009;10;2002;9
20021010;10;2002;10
20021213;12;2002;13
20030707;7;2003;7
19991022;10;1999;22
20020523;5;2002;23
19991030;10;1999;30
20030807;8;2003;7
20020602;6;2002;2
20020609;6;2002;9
20040904;9;2004;4
20050114;1;2005;14
20040613;6;2004;13
20020624;6;2002;24
20050906;9;2005;6
20020622;6;2002;22
19991230;12;1999;30
20091221;12;2009;21
20140528;5;2014;28
20031211;12;2003;11
20050619;6;2005;19
20031209;12;2003;9
19991031;10;1999;31
20040916;9;2004;16
20030819;8;2003;19
19991127;11;1999;27
20000409;4;2000;9
19991226;12;1999;26
20000327;3;2000;27
20000415;4;2000;15
20010715;7;2001;15
20050818;8;2005;18
20040113;1;2004;13
